grid_id, tile_id
64,-141|-126
65,-145|-125
65,-145|-124
65,-145|-123
65,-145|-122
65,-145|-121
65,-144|-125
65,-144|-124
65,-144|-123
65,-144|-122
65,-144|-121
65,-143|-125
65,-143|-124
65,-143|-123
65,-143|-122
65,-143|-121
65,-142|-125
65,-142|-124
65,-142|-123
65,-142|-122
65,-142|-121
65,-141|-125
65,-141|-124
65,-141|-123
65,-141|-122
65,-141|-121
66,-145|-120
66,-145|-119
66,-145|-118
66,-145|-117
66,-145|-116
66,-144|-120
66,-144|-119
66,-144|-118
66,-144|-117
66,-144|-116
66,-143|-120
66,-143|-119
66,-143|-118
66,-143|-117
66,-143|-116
66,-142|-120
66,-142|-119
66,-142|-118
66,-142|-117
66,-142|-116
66,-141|-120
66,-141|-119
66,-141|-118
66,-141|-117
66,-141|-116
67,-145|-115
67,-145|-114
67,-145|-113
67,-145|-112
67,-145|-111
67,-144|-115
67,-144|-114
67,-144|-113
67,-144|-112
67,-144|-111
67,-143|-115
67,-143|-114
67,-143|-113
67,-143|-112
67,-143|-111
67,-142|-115
67,-142|-114
67,-142|-113
67,-142|-112
67,-142|-111
67,-141|-115
67,-141|-114
67,-141|-113
67,-141|-112
67,-141|-111
68,-145|-110
68,-145|-109
68,-145|-108
68,-145|-107
68,-145|-106
68,-144|-110
68,-144|-109
68,-144|-108
68,-144|-107
68,-144|-106
68,-143|-110
68,-143|-109
68,-143|-108
68,-143|-107
68,-143|-106
68,-142|-110
68,-142|-109
68,-142|-108
68,-142|-107
68,-142|-106
68,-141|-110
68,-141|-109
68,-141|-108
68,-141|-107
68,-141|-106
69,-145|-105
69,-145|-104
69,-145|-103
69,-145|-102
69,-145|-101
69,-144|-105
69,-144|-104
69,-144|-103
69,-144|-102
69,-144|-101
69,-143|-105
69,-143|-104
69,-143|-103
69,-143|-102
69,-143|-101
69,-142|-105
69,-142|-104
69,-142|-103
69,-142|-102
69,-142|-101
69,-141|-105
69,-141|-104
69,-141|-103
69,-141|-102
69,-141|-101
70,-145|-100
70,-145|-99
70,-145|-98
70,-145|-97
70,-145|-96
70,-144|-100
70,-144|-99
70,-144|-98
70,-144|-97
70,-144|-96
70,-143|-100
70,-143|-99
70,-143|-98
70,-143|-97
70,-143|-96
70,-142|-100
70,-142|-99
70,-142|-98
70,-142|-97
70,-142|-96
70,-141|-100
70,-141|-99
70,-141|-98
70,-141|-97
70,-141|-96
